order,seasonal_order,mean_RMSE,std_RMSE,mean_MAE,std_MAE,mean_AIC,std_AIC,mean_BIC,std_BIC,num_successful_trials
"(1, 1, 1)","(0, 2, 0)",594.2006803251437,0.0,476.3385438575261,0.0,25836.248887927726,3.637978807091713e-12,25853.62469579853,3.637978807091713e-12,30
"(1, 1, 1)","(0, 2, 1)",120.1351844612513,1.4210854715202004e-14,83.63141671967998,4.263256414560601e-14,23148.495002249063,7.275957614183426e-12,23171.64287025952,1.0913936421275139e-11,30
"(1, 1, 1)","(0, 2, 2)",151.93811501604617,0.0,122.6114403191579,2.842170943040401e-14,21490.14170442588,3.637978807091713e-12,21519.051570598047,3.637978807091713e-12,30
"(1, 1, 1)","(1, 0, 0)",119.79490776156642,2.842170943040401e-14,82.91213716184217,1.4210854715202004e-14,21633.240581555667,7.275957614183426e-12,21656.429746649854,1.0913936421275139e-11,30
"(1, 1, 1)","(1, 0, 1)",119.7949076787431,1.4210854715202004e-14,82.91214068070836,1.4210854715202004e-14,21627.061277868892,3.637978807091713e-12,21656.045679582796,1.0913936421275139e-11,30
"(1, 1, 1)","(1, 0, 2)",116.40605709280585,1.4210854715202004e-14,79.35055560816014,1.4210854715202004e-14,21519.345687694837,3.637978807091713e-12,21554.09730343647,7.275957614183426e-12,30
"(1, 1, 1)","(1, 1, 0)",121.61859971925865,1.4210854715202004e-14,85.59027244150188,1.4210854715202004e-14,22553.868207135554,7.275957614183426e-12,22577.03760283199,7.275957614183426e-12,30
"(1, 1, 1)","(1, 1, 1)",123.20932269269807,2.842170943040401e-14,87.84286690284733,4.263256414560601e-14,21548.991394660414,7.275957614183426e-12,21577.951074445107,1.0913936421275139e-11,30
"(1, 1, 1)","(1, 1, 2)",122.8865496951242,2.842170943040401e-14,87.40246988537835,4.263256414560601e-14,21448.40116848941,1.0913936421275139e-11,21483.12297050512,7.275957614183426e-12,30
"(1, 1, 1)","(1, 2, 0)",138.06725107805866,0.0,104.98442515857185,0.0,24313.4311423736,0.0,24336.580670479547,7.275957614183426e-12,30
"(1, 1, 1)","(1, 2, 1)",137.82885210625767,2.842170943040401e-14,106.3024113248119,2.842170943040401e-14,22509.69226321558,3.637978807091713e-12,22538.62709822866,0.0,30
"(1, 1, 1)","(1, 2, 2)",151.38960771599312,0.0,122.06904766790862,2.842170943040401e-14,21493.67753211792,3.637978807091713e-12,21528.369371524528,7.275957614183426e-12,30
"(1, 1, 1)","(2, 0, 0)",119.79508258894978,1.4210854715202004e-14,82.9126196729835,0.0,21534.934379165414,0.0,21563.896123785984,3.637978807091713e-12,30
"(1, 1, 1)","(2, 0, 1)",116.27786645765633,2.842170943040401e-14,79.21253126706465,1.4210854715202004e-14,21527.278384720747,7.275957614183426e-12,21562.032478265424,7.275957614183426e-12,30
"(1, 1, 1)","(2, 0, 2)",115.9263294601939,2.842170943040401e-14,78.8248559476871,1.4210854715202004e-14,21515.844608567084,3.637978807091713e-12,21556.38816026565,3.637978807091713e-12,30
"(1, 1, 1)","(2, 1, 0)",120.00817467656235,2.842170943040401e-14,83.30935596238002,2.842170943040401e-14,22175.95361293665,3.637978807091713e-12,22204.89052306907,0.0,30
"(1, 1, 1)","(2, 1, 1)",123.50547430889591,2.842170943040401e-14,88.25933386577752,0.0,21461.030767294615,7.275957614183426e-12,21495.755059453535,3.637978807091713e-12,30
"(1, 1, 1)","(2, 1, 2)",121.902195337152,2.842170943040401e-14,86.01924501336119,2.842170943040401e-14,21444.533198800014,7.275957614183426e-12,21485.041967818303,7.275957614183426e-12,30
"(1, 1, 1)","(2, 2, 0)",11731.48142684879,1.8189894035458565e-12,8858.412217215106,1.8189894035458565e-12,23408.068419840863,7.275957614183426e-12,23436.980371518785,7.275957614183426e-12,30
"(1, 1, 1)","(2, 2, 1)",122.17607391509257,4.263256414560601e-14,86.46750264992039,2.842170943040401e-14,22142.176892302316,7.275957614183426e-12,22176.87123431583,3.637978807091713e-12,30
"(1, 1, 1)","(2, 2, 2)",157.98480464240708,5.684341886080802e-14,129.54509036752995,2.842170943040401e-14,21506.46200844597,7.275957614183426e-12,21546.935821087,3.637978807091713e-12,30
"(1, 1, 2)","(0, 0, 0)",119.7946533412843,1.4210854715202004e-14,82.91176952848676,0.0,21712.53139883706,1.0913936421275139e-11,21735.736964118212,3.637978807091713e-12,30
"(1, 1, 2)","(0, 0, 1)",119.79502638915874,4.263256414560601e-14,82.91230838531433,2.842170943040401e-14,21618.439466643034,0.0,21647.421812858458,7.275957614183426e-12,30
"(1, 1, 2)","(0, 0, 2)",119.70154350027317,1.4210854715202004e-14,82.81501843584361,1.4210854715202004e-14,21518.86139516278,3.637978807091713e-12,21553.610532077695,7.275957614183426e-12,30
"(1, 1, 2)","(0, 1, 0)",125.07587624778643,4.263256414560601e-14,90.39465878747708,0.0,23296.396180935095,3.637978807091713e-12,23319.582057907446,3.637978807091713e-12,30
"(1, 1, 2)","(0, 1, 1)",123.46815176167726,1.4210854715202004e-14,88.20551555762275,2.842170943040401e-14,21540.231941117756,3.637978807091713e-12,21569.189555213514,7.275957614183426e-12,30
"(1, 1, 2)","(0, 1, 2)",122.4131248385303,2.842170943040401e-14,86.72035107342434,0.0,21445.91211182088,0.0,21480.63142265946,7.275957614183426e-12,30
"(1, 1, 2)","(0, 2, 0)",473.9390684498522,0.0,382.3512812598161,1.1368683772161603e-13,25826.95376419146,7.275957614183426e-12,25850.119855468052,3.637978807091713e-12,30
